% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1445037166
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 0 0 8 2 72 29.9 0 5 -1 -1 -1 -1 -1 -1 -1 296782 0 0 10 40 15 60 2 3 3
0 0 0 0 1 2 1 0 0 0 0 0 16 1 40 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 296949 0 0 10 40 15 60 2 3 3
0 0 0 0 1 2 1 0 0 0 0 0 19 0 0 29.5667 0 5 -1 -1 -1 -1 -1 -1 -1 297115 0 0 10 40 15 60 2 3 3
0 0 0 0 1 1 2 0 0 0 0 0 28 1 89 29.4 0 6 -1 -1 -1 -1 -1 -1 -1 297282 0 0 10 40 15 51 2 3 3
0 0 0 0 1 1 2 0 0 0 0 0 43 1 35 29.1333 0 6 -1 -1 -1 -1 -1 -1 -1 297548 0 0 10 40 15 27 7 1 3
0 0 0 0 1 1 2 0 0 0 0 0 27 -1 48 28.5 0 6 -1 -1 -1 -1 -1 -1 -1 298182 0 0 10 40 15 15 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 0 -1 32 27.8334 0 5 -1 -1 -1 -1 -1 -1 -1 298848 0 0 10 40 15 15 7 1 3
0 0 0 0 2 1 1 0 0 0 0 0 331 0 0 27.1667 0 4 -1 -1 -1 -1 -1 -1 -1 299515 0 0 10 40 15 15 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 6 1 42 26.5001 0 5 -1 -1 -1 -1 -1 -1 -1 300181 0 0 10 40 15 15 7 1 3
0 0 0 0 1 1 2 0 0 0 0 0 24 1 40 25.8334 0 6 -1 -1 -1 -1 -1 -1 -1 300848 0 0 10 40 15 15 7 1 3
0 0 0 0 1 1 3 0 0 0 0 0 33 0 0 25.1667 0 6 6 6 5 5 1 1 0 301514 0 0 10 40 15 15 7 1 3
0 0 0 0 1 1 2 0 0 0 0 0 32 0 0 27.1826 0 6 -1 -1 -1 -1 -1 -1 -1 302147 0 0 10 40 15.5 15.5 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 20 0 0 26.4937 0 5 -1 -1 -1 -1 -1 -1 -1 302814 0 0 10 40 15.5 15.5 7 0 3
0 0 0 0 1 2 1 0 0 0 0 0 12 0 0 25.8393 0 5 -1 -1 -1 -1 -1 -1 -1 303447 0 0 10 40 15.5 15.5 7 0 3
0 0 0 0 1 3 1 0 0 0 0 0 357 -1 48 25.1504 0 5 5 6 5 5 1 1 0 304113 0 0 10 40 15.5 15.5 7 0 3
