% Tunnel Log: 
% debug seed: 1425409131
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Color/Sound, 1=Shape/Sound, 2=Sound, 3=Holdout, 4=Recess }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5=recess }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 29.8467 0 5 -1 -1 -1 -1 -1 -1 -1 31233 0 0 10 40 23 60 6 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 29.5911 0 5 -1 -1 -1 -1 -1 -1 -1 31399 0 0 10 40 23 60 6 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 29.2844 0 5 -1 -1 -1 -1 -1 -1 -1 31599 0 0 10 40 23 44.0489 6 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 28.7733 0 5 -1 -1 -1 -1 -1 -1 -1 31933 0 0 10 40 23 23 6 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 28.1089 0 5 -1 -1 -1 -1 -1 -1 -1 32366 0 0 10 40 23 23 7 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 27.4444 0 5 -1 -1 -1 -1 -1 -1 -1 32799 0 0 10 40 23 23 7 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 26.78 0 5 -1 -1 -1 -1 -1 -1 -1 33233 0 0 10 40 23 23 7 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 26.1155 0 5 -1 -1 -1 -1 -1 -1 -1 33666 0 0 10 40 23 23 7 0 5
0 0 0 1 1 2 1 1 0 0 2 4 0 0 0 25.4511 0 5 -1 -1 -1 -1 -1 -1 -1 34099 0 0 10 40 23 23 3 0 5
0 0 0 1 1 1 2 1 0 0 2 4 35 0 0 24.7867 0 6 -1 -1 -1 -1 -1 -1 -1 34533 0 0 10 40 23 23 3 0 5
0 0 0 1 1 1 4 1 0 0 2 4 46 1 32 24.1222 0 6 6 5 2 2 0 1 0 34966 0 0 10 40 23 23 3 0 5
